anidbid,mal_id,thetvdb_id
266,235,72454
269,836,117871
270,1048,80211
271,387,79105
272,132,79056
273,452,71361
274,633,72448
276,1560,261527
277,617,72842
278,982,75510
279,1772,82972
280,366,80900
281,212,78232
283,,78923
284,2098,78923
285,1486,79544
287,440,79449
288,1453,71776
289,328,84543
290,799,72900
291,2004,81098
292,2179,81367
293,2204,79457
294,611,212081
296,327,75717
301,1465,83178
302,1457,80669
304,779,72454
305,118,152531
309,,358536
310,1182,77663
311,331,81095
312,392,76665
313,1362,75534
314,,337406
316,458,146611
317,254,79050
320,1430,71863
321,393,77248
322,1169,93941
323,162,79673
325,3006,90331
326,31,70350
327,526,76968
329,2335,185371
330,302,80294
337,538,80583
338,1100,106641
339,1671,106641
340,1618,106641
343,1257,72775
344,573,81694
345,568,76538
346,1352,81931
347,1484,85077
348,679,72412
349,536,77681
350,869,77681
351,233,163791
352,386,138561
353,958,73550
354,142,72832
355,268,72408
356,334,72421
358,1133,79064
359,1006,80009
360,1947,165861
361,1051,73499
362,1822,72848
363,1171,77681
364,1172,77681
366,1548,85146
367,418,76932
368,792,76932
369,219,71313
371,507,80456
372,1542,71750
373,867,77681
374,1156,87481
375,1101,80009
376,1144,80009
377,1293,75113
378,1920,75113
379,1921,75113
380,1922,75113
381,1923,75113
382,1924,75113
383,1925,75113
384,1919,75113
385,999,76695
386,967,79156
387,106,73670
389,445,84540
391,690,70862
392,1181,72446
393,1455,205521
394,1231,81694
395,1096,80789
396,1158,85073
397,906,81472
399,484,80587
400,561,82029
401,424,72442
402,,73312
403,1184,73181
404,1084,84049
405,1007,76932
406,1025,72427
407,606,79476
408,1248,79174
409,696,79620
410,1660,113591
411,459,81797
412,1249,79174
413,321,79447
414,472,81766
415,608,82029
416,58,76664
417,1180,71618
418,796,81095
420,1079,81997
421,1412,71863
422,46,70863
423,1954,71634
424,975,84509
426,2225,82927
427,194,79034
428,1312,131261
429,155,70865
430,359,75111
432,1098,79781
433,55,79268
434,110,85455
436,2291,113231
437,868,77681
438,1372,80054
439,100,72896
440,378,73571
441,1346,393077
